beat_index,beat_time_sec,ch0.r_amp,ch0.s_amp,ch0.rs_ratio,ch0.qrs_max_slope,ch0.qrs_area,ch0.qrs_energy,ch0.st_j,ch0.st_60ms,ch0.st_80ms,ch0.t_peak_amp,ch0.t_area,ch0.qrs_notches,ch0.qrs_is_fragmented,ch0.waveE_L1,ch0.waveE_L2,ch0.waveE_L3,ch0.waveE_L4,ch0.waveE_L5,morph_corr_allleads,ST60_max_abs,ST60_max_lead,ST80_max_abs,ST80_max_lead
70,115.784,2463.457610785673,748.7872452650615,3.2899299852705677,2626620.5356464386,753.3671619830396,5812348186.908051,748.7872452650615,-136.53264556974557,-212.07940431457007,-174.13525786741945,-25.167122992158088,9.0,1.0,,,,,,0.05042064963388151,136.53264556974557,ch0.st_60ms,212.07940431457007,ch0.st_80ms
71,115.96,40.715557465149345,-161.69475160794366,0.25180506516297524,21117.880934269295,6.57957450718088,285963.22380952997,-149.94940997598883,-200.72737461594522,-274.6259158071549,-258.3502509076362,-29.772368015974845,4.0,1.0,,,,,,0.43524337678276415,200.72737461594522,ch0.st_60ms,274.6259158071549,ch0.st_80ms
72,129.292,266.0210740597265,266.0210740597265,1.0,19479.874725517093,17.96531392631632,2186179.4676852487,358.0580792195755,349.35879401631047,298.5176439314099,325.6637824233964,12.722232718813457,0.0,0.0,,,,,,0.4193624379458956,349.35879401631047,ch0.st_60ms,298.5176439314099,ch0.st_80ms
73,132.982,1542.2705413110605,-10858.318858600123,0.1420358493239066,1327058.5058753565,190.7486085170672,587266569.3176095,737.8785885416712,622.8482394773009,640.2909404472884,-36188.11415378156,-1277.330953842358,4.0,1.0,,,,,,0.15530047032710248,622.8482394773009,ch0.st_60ms,640.2909404472884,ch0.st_80ms
74,133.216,4106.743207228507,-36775.896793895794,0.11166942386868348,3251640.6729275985,1480.1466529747522,18905865978.04053,1121.2667695908008,92.21098613708159,62.803812189562905,29.99354749431086,0.3155613398590913,5.0,1.0,,,,,,-0.1281065993013088,92.21098613708159,ch0.st_60ms,62.803812189562905,ch0.st_80ms
75,133.35,138.8801045771197,138.8801045771197,1.0,116011.94855832978,6.663981668372306,575312.8486959896,138.8801045771197,20.1292970751374,-33.733547376614524,-73.54153723554896,-12.284399612106583,4.0,1.0,,,,,,0.022204051067443404,20.1292970751374,ch0.st_60ms,33.733547376614524,ch0.st_80ms
76,133.622,-246.83403538823063,-246.83403538823063,-1.0,5579.09111013339,11.275174599592663,990085.7691961296,-246.83403538823063,-318.4550140620147,-335.338531921627,-22679.766090272682,-673.4503779592209,0.0,0.0,,,,,,0.15476425698024399,318.4550140620147,ch0.st_60ms,335.338531921627,ch0.st_80ms
77,134.0,2371.3472109254435,654.0517571341084,3.625626236853327,2605010.9226321513,646.769401047842,4784417631.158481,654.0517571341084,-334.77508239845986,-344.9478785571904,-363.50250350807823,0.0,8.0,1.0,,,,,,0.05074677006639354,334.77508239845986,ch0.st_60ms,344.9478785571904,ch0.st_80ms
78,144.262,170.76707446959244,-51.49746157117587,3.316028970351698,16395.50528614082,16.363212124791215,843927.1731379908,-51.49746157117587,127.24188607555737,8.511929477896851,-139.37612027450854,-8.31928140175742,1.0,0.0,,,,,,0.5623088790708873,127.24188607555737,ch0.st_60ms,8.511929477896851,ch0.st_80ms
79,147.908,185.44545800490468,185.44545800490468,1.0,4608.0877028736895,4.74048309975863,389957.8512757181,185.44545800490468,-65.96372036674413,-140.00503012404198,-230.66649428445416,-6.7490589330648065,0.0,0.0,,,,,,0.5052277129101596,65.96372036674413,ch0.st_60ms,140.00503012404198,ch0.st_80ms
